"study","contrast","direction","pathway","total","hits","expected","raw_p","fdr","impact"
"Misame (14-21 days)","BEP/BEP","combined","Nicotinate and Nicotinamide Metabolism",32,3,0.28543,0.0021413,0.12211,0.20487
"Misame (14-21 days)","BEP/BEP","combined","Thiamine Metabolism",9,2,0.080278,0.0024669,0.12211,0
"Misame (14-21 days)","BEP/BEP","combined","Vitamin B6 Metabolism",15,2,0.1338,0.0069971,0.23091,0.095097
"Misame (14-21 days)","BEP/BEP","combined","Riboflavin Metabolism",14,1,0.12488,0.11861,1,0.044118
"Misame (14-21 days)","BEP/BEP","combined","Pantothenate and CoA Biosynthesis",19,1,0.16947,0.15784,1,0.068702
"Misame (14-21 days)","BEP/BEP","combined","Beta-Alanine Metabolism",26,1,0.23191,0.21014,1,0
"Misame (14-21 days)","IFA/BEP","combined","Nicotinate and Nicotinamide Metabolism",32,4,0.28543,9.4295e-05,0.0093352,0.20487
"Misame (14-21 days)","IFA/BEP","combined","Thiamine Metabolism",9,2,0.080278,0.0024669,0.12211,0
"Misame (14-21 days)","IFA/BEP","combined","Riboflavin Metabolism",14,1,0.12488,0.11861,1,0.044118
"Misame (14-21 days)","IFA/BEP","combined","Vitamin B6 Metabolism",15,1,0.1338,0.12658,1,0.073587
"Misame (14-21 days)","IFA/BEP","combined","Pantothenate and CoA Biosynthesis",19,1,0.16947,0.15784,1,0.068702
"Misame (14-21 days)","IFA/BEP","combined","Beta-Alanine Metabolism",26,1,0.23191,0.21014,1,0
"Misame (1-2 mo.)","BEP/BEP","combined","Nicotinate and Nicotinamide Metabolism",32,3,0.222,0.00093194,0.092262,0.20487
"Misame (1-2 mo.)","BEP/BEP","combined","Vitamin B6 Metabolism",15,2,0.10406,0.0041527,0.20556,0.095097
"Misame (1-2 mo.)","BEP/BEP","combined","Riboflavin Metabolism",14,1,0.097126,0.093442,1,0.044118
"Misame (1-2 mo.)","BEP/BEP","combined","Pantothenate and CoA Biosynthesis",19,1,0.13181,0.12495,1,0.068702
"Misame (1-2 mo.)","BEP/BEP","combined","Beta-Alanine Metabolism",26,1,0.18038,0.16748,1,0
"Misame (1-2 mo.)","BEP/IFA","combined","Thiamine Metabolism",9,1,0.026759,0.026547,1,0.95
"Misame (1-2 mo.)","BEP/IFA","combined","Pantothenate and CoA Biosynthesis",19,1,0.056492,0.055488,1,0.068702
"Misame (1-2 mo.)","BEP/IFA","combined","Beta-Alanine Metabolism",26,1,0.077304,0.075402,1,0
"Misame (1-2 mo.)","BEP/IFA","combined","Valine, Leucine and Isoleucine Degradation",51,1,0.15164,0.14424,1,0.025039
"Misame (1-2 mo.)","BEP/IFA","combined","Tryptophan Metabolism",55,1,0.16353,0.15492,1,0
"Misame (1-2 mo.)","IFA/BEP","combined","Nicotinate and Nicotinamide Metabolism",32,4,0.31715,0.00015366,0.015212,0.20487
"Misame (1-2 mo.)","IFA/BEP","combined","Thiamine Metabolism",9,2,0.089197,0.0030693,0.15193,0.95
"Misame (1-2 mo.)","IFA/BEP","combined","Vitamin B6 Metabolism",15,2,0.14866,0.0086713,0.28615,0.095097
"Misame (1-2 mo.)","IFA/BEP","combined","Riboflavin Metabolism",14,1,0.13875,0.13095,1,0.044118
"Misame (1-2 mo.)","IFA/BEP","combined","Pantothenate and CoA Biosynthesis",19,1,0.18831,0.17384,1,0.068702
"Misame (1-2 mo.)","IFA/BEP","combined","Beta-Alanine Metabolism",26,1,0.25768,0.23068,1,0
"Misame (1-2 mo.)","IFA/BEP","combined","Valine, Leucine and Isoleucine Degradation",51,1,0.50545,0.40611,1,0.025039
"Misame (3-4 mo.)","BEP/BEP","combined","Vitamin B6 Metabolism",15,2,0.089197,0.0029919,0.2962,0.095097
"Misame (3-4 mo.)","BEP/BEP","combined","Nicotinate and Nicotinamide Metabolism",32,2,0.19029,0.013505,0.6685,0.19443
