study,timepoint,contrast,direction,klass,pathway,total,expected,hits,raw_p,fdr_native,enrichment_ratio
MISAME-III,14-21 days,BEP,down,metabolite,Arginine and Proline Metabolism,8,0.0727,2,0.002,0.0652,-27.51031636863824
MISAME-III,1-2 mo.,BEP,down,metabolite,Arginine and Proline Metabolism,8,0.0727,2,0.002,0.0626,-27.51031636863824
MISAME-III,1-2 mo.,BEP,down,metabolite,Methionine Metabolism,8,0.0727,2,0.002,0.0626,-27.51031636863824
MISAME-III,3-4 mo.,BEP,down,metabolite,Methionine Metabolism,8,0.0727,2,0.002,0.0979,-27.51031636863824
ELICIT,5 mo.,Az.,down,metabolite,Glycine and Serine Metabolism,9,0.0727,2,0.002,0.0391,-27.51031636863824
MISAME-III,14-21 days,BEP,up,metabolite,Lactose Degradation,2,0.00202,1,0.00202,0.0989,495.049504950495
MISAME-III,3-4 mo.,BEP/BEP,up,metabolite,Propanoate Metabolism,2,0.00202,1,0.00202,0.0989,495.049504950495
MISAME-III,3-4 mo.,BEP/IFA,up,metabolite,Ketone Body Metabolism,1,0.00202,1,0.00202,0.0494,495.049504950495
MISAME-III,3-4 mo.,BEP/IFA,up,metabolite,Butyrate Metabolism,1,0.00202,1,0.00202,0.0494,495.049504950495
MISAME-III,3-4 mo.,BEP/IFA,up,metabolite,Mitochondrial Electron Transport Chain,1,0.00202,1,0.00202,0.0494,495.049504950495
MISAME-III,3-4 mo.,BEP/IFA,up,metabolite,Phytanic Acid Peroxisomal Oxidation,1,0.00202,1,0.00202,0.0494,495.049504950495
ELICIT,5 mo.,Az.,up,metabolite,Nucleotide Sugars Metabolism,1,0.00202,1,0.00202,0.197,495.049504950495
MISAME-III,3-4 mo.,IFA/BEP,down,metabolite,Methionine Metabolism,8,0.0807,2,0.00249,0.141,-24.783147459727388
MISAME-III,1-2 mo.,BEP,down,metabolite,Glycine and Serine Metabolism,9,0.0817,2,0.00256,0.0626,-24.479804161566708
Mumta-LW,1.5 mo.,BEP,up,metabolite,Phenylalanine and Tyrosine Metabolism,1,0.00303,1,0.00303,0.0988,330.03300330033
Mumta-LW,1.5 mo.,BEP,up,metabolite,Selenoamino Acid Metabolism,1,0.00303,1,0.00303,0.0988,330.03300330033
Mumta-LW,1.5 mo.,BEP,up,metabolite,Thyroid hormone synthesis,1,0.00303,1,0.00303,0.0988,330.03300330033
Mumta-LW,2 mo.,BEP,up,metabolite,Selenoamino Acid Metabolism,1,0.00303,1,0.00303,0.185,330.03300330033
MISAME-III,14-21 days,BEP/IFA,down,metabolite,Ketone Body Metabolism,1,0.00303,1,0.00303,0.0742,-330.03300330033
MISAME-III,14-21 days,BEP/IFA,down,metabolite,Butyrate Metabolism,1,0.00303,1,0.00303,0.0742,-330.03300330033
MISAME-III,14-21 days,BEP/IFA,down,metabolite,Mitochondrial Electron Transport Chain,1,0.00303,1,0.00303,0.0742,-330.03300330033
MISAME-III,14-21 days,BEP/IFA,down,metabolite,Phytanic Acid Peroxisomal Oxidation,1,0.00303,1,0.00303,0.0742,-330.03300330033
MISAME-III,1-2 mo.,BEP/IFA,down,metabolite,Arginine and Proline Metabolism,8,0.0888,2,0.00303,0.0989,-22.52252252252252
MISAME-III,1-2 mo.,IFA/BEP,down,metabolite,Arginine and Proline Metabolism,8,0.0888,2,0.00303,0.148,-22.52252252252252
MISAME-III,3-4 mo.,BEP/IFA,down,metabolite,Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,1,0.00303,1,0.00303,0.296,-330.03300330033
ELICIT,5 mo.,Nico+Az.,down,metabolite,Steroid Biosynthesis,1,0.00303,1,0.00303,0.0989,-330.03300330033
ELICIT,5 mo.,Nico+Az.,down,metabolite,Glycerolipid Metabolism,1,0.00303,1,0.00303,0.0989,-330.03300330033
ELICIT,5 mo.,Nico+Az.,down,metabolite,Fatty Acid Elongation In Mitochondria,1,0.00303,1,0.00303,0.0989,-330.03300330033
MISAME-III,3-4 mo.,IFA/BEP,down,metabolite,Glycine and Serine Metabolism,9,0.0908,2,0.00318,0.141,-22.026431718061673
ELICIT,1 mo.,Az.,down,metabolite,Bile Acid Biosynthesis,14,0.0989,2,0.00374,0.115,-20.222446916076844
ELICIT,5 mo.,Nico,down,metabolite,Bile Acid Biosynthesis,14,0.0989,2,0.00374,0.345,-20.222446916076844
MISAME-III,14-21 days,IFA/BEP,down,metabolite,Glycine and Serine Metabolism,9,0.0999,2,0.00387,0.0518,-20.02002002002002
MISAME-III,3-4 mo.,BEP/IFA,up,metabolite,"Valine, Leucine and Isoleucine Degradation",2,0.00404,1,0.00403,0.0565,247.5247524752475
MISAME-III,3-4 mo.,BEP/IFA,up,metabolite,Citric Acid Cycle,2,0.00404,1,0.00403,0.0565,247.5247524752475
MISAME-III,3-4 mo.,BEP/IFA,up,metabolite,Warburg Effect,2,0.00404,1,0.00403,0.0565,247.5247524752475
ELICIT,5 mo.,Az.,up,metabolite,Lactose Degradation,2,0.00404,1,0.00403,0.197,247.5247524752475
MISAME-III,1-2 mo.,BEP,up,metabolite,Pyrimidine Metabolism,1,0.00404,1,0.00404,0.197,247.5247524752475
MISAME-III,3-4 mo.,BEP,up,metabolite,Tryptophan Metabolism,4,0.00404,1,0.00404,0.396,247.5247524752475
ELICIT,5 mo.,Nico,down,metabolite,Malate-Aspartate Shuttle,1,0.00404,1,0.00404,0.246,-247.5247524752475
MISAME-III,14-21 days,BEP/IFA,up,metabolite,Pyrimidine Metabolism,1,0.00404,1,0.00404,0.113,247.5247524752475
MISAME-III,14-21 days,BEP/IFA,up,metabolite,Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids,1,0.00404,1,0.00404,0.113,247.5247524752475
MISAME-III,1-2 mo.,BEP/IFA,up,metabolite,Pyrimidine Metabolism,1,0.00404,1,0.00404,0.263,247.5247524752475
MISAME-III,3-4 mo.,BEP/BEP,up,metabolite,Beta-Alanine Metabolism,4,0.00404,1,0.00404,0.119,247.5247524752475
MISAME-III,3-4 mo.,IFA/BEP,up,metabolite,Tryptophan Metabolism,4,0.00404,1,0.00404,0.396,247.5247524752475
Mumta-LW,2 mo.,BEP+ExBf,up,metabolite,Selenoamino Acid Metabolism,1,0.00404,1,0.00404,0.132,247.5247524752475
Mumta-LW,2 mo.,BEP+ExBf,up,metabolite,Arachidonic Acid Metabolism,1,0.00404,1,0.00404,0.132,247.5247524752475
ELICIT,5 mo.,Az.,down,metabolite,Bile Acid Biosynthesis,14,0.113,2,0.00495,0.0808,-17.699115044247787
MISAME-III,14-21 days,BEP,up,metabolite,Sphingolipid Metabolism,5,0.00505,1,0.00505,0.124,198.01980198019805
MISAME-III,14-21 days,BEP,up,metabolite,Galactose Metabolism,5,0.00505,1,0.00505,0.124,198.01980198019805
MISAME-III,14-21 days,BEP/BEP,down,metabolite,Cysteine Metabolism,1,0.00505,1,0.00505,0.0824,-198.01980198019805
MISAME-III,14-21 days,BEP/BEP,down,metabolite,Pantothenate and CoA Biosynthesis,1,0.00505,1,0.00505,0.0824,-198.01980198019805
MISAME-III,14-21 days,BEP/BEP,down,metabolite,Arachidonic Acid Metabolism,1,0.00505,1,0.00505,0.0824,-198.01980198019805
MISAME-III,14-21 days,BEP/BEP,down,metabolite,Threonine and 2-Oxobutanoate Degradation,1,0.00505,1,0.00505,0.0824,-198.01980198019805
MISAME-III,14-21 days,BEP/BEP,down,metabolite,Homocysteine Degradation,1,0.00505,1,0.00505,0.0824,-198.01980198019805
MISAME-III,1-2 mo.,BEP/BEP,up,metabolite,Pyrimidine Metabolism,1,0.00505,1,0.00505,0.247,198.01980198019805
MISAME-III,3-4 mo.,BEP/BEP,up,metabolite,Histidine Metabolism,5,0.00505,1,0.00505,0.119,198.01980198019805
Mumta-LW,2 mo.,BEP+ExBf+AZT,up,metabolite,Selenoamino Acid Metabolism,1,0.00505,1,0.00505,0.245,198.01980198019805
Mumta-LW,2 mo.,BEP+ExBf+AZT,up,metabolite,Arachidonic Acid Metabolism,1,0.00505,1,0.00505,0.245,198.01980198019805
Mumta-LW,1.5 mo.,BEP,up,metabolite,Catecholamine Biosynthesis,2,0.00605,1,0.00605,0.0988,165.28925619834712
Mumta-LW,1.5 mo.,BEP,up,metabolite,Alanine Metabolism,2,0.00605,1,0.00605,0.0988,165.28925619834712
Mumta-LW,1.5 mo.,BEP,up,metabolite,Glucose-Alanine Cycle,2,0.00605,1,0.00605,0.0988,165.28925619834712
Mumta-LW,2 mo.,BEP,down,metabolite,Porphyrin Metabolism,1,0.00605,1,0.00605,0.148,-165.28925619834712
Mumta-LW,2 mo.,BEP,up,metabolite,Alanine Metabolism,2,0.00605,1,0.00605,0.185,165.28925619834712
Mumta-LW,2 mo.,BEP,up,metabolite,Glucose-Alanine Cycle,2,0.00605,1,0.00605,0.185,165.28925619834712
MISAME-III,14-21 days,BEP/IFA,down,metabolite,"Valine, Leucine and Isoleucine Degradation",2,0.00605,1,0.00605,0.0847,-165.28925619834712
MISAME-III,14-21 days,BEP/IFA,down,metabolite,Citric Acid Cycle,2,0.00605,1,0.00605,0.0847,-165.28925619834712
MISAME-III,14-21 days,BEP/IFA,down,metabolite,Warburg Effect,2,0.00605,1,0.00605,0.0847,-165.28925619834712
MISAME-III,3-4 mo.,BEP/BEP,up,metabolite,Aspartate Metabolism,6,0.00605,1,0.00605,0.119,165.28925619834712
MISAME-III,3-4 mo.,BEP/IFA,down,metabolite,Beta Oxidation of Very Long Chain Fatty Acids,2,0.00605,1,0.00605,0.296,-165.28925619834712
MISAME-III,3-4 mo.,BEP/IFA,up,metabolite,Oxidation of Branched Chain Fatty Acids,3,0.00605,1,0.00605,0.0741,165.28925619834712
MISAME-III,1-2 mo.,BEP/BEP,down,metabolite,Arachidonic Acid Metabolism,1,0.00706,1,0.00706,0.173,-141.64305949008497
MISAME-III,1-2 mo.,BEP/BEP,down,metabolite,Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,1,0.00706,1,0.00706,0.173,-141.64305949008497
Mumta-LW,1.5 mo.,BEP+ExBf,up,metabolite,Selenoamino Acid Metabolism,1,0.00706,1,0.00706,0.173,141.64305949008497
ELICIT,1 mo.,Az.,down,metabolite,Ketone Body Metabolism,1,0.00706,1,0.00706,0.115,-141.64305949008497
ELICIT,1 mo.,Az.,down,metabolite,Butyrate Metabolism,1,0.00706,1,0.00706,0.115,-141.64305949008497
ELICIT,1 mo.,Az.,down,metabolite,Mitochondrial Electron Transport Chain,1,0.00706,1,0.00706,0.115,-141.64305949008497
ELICIT,1 mo.,Az.,down,metabolite,Phytanic Acid Peroxisomal Oxidation,1,0.00706,1,0.00706,0.115,-141.64305949008497
ELICIT,1 mo.,Nico,down,metabolite,Ketone Body Metabolism,1,0.00706,1,0.00706,0.173,-141.64305949008497
ELICIT,1 mo.,Nico,down,metabolite,Butyrate Metabolism,1,0.00706,1,0.00706,0.173,-141.64305949008497
ELICIT,1 mo.,Nico,down,metabolite,Mitochondrial Electron Transport Chain,1,0.00706,1,0.00706,0.173,-141.64305949008497
ELICIT,1 mo.,Nico,down,metabolite,Phytanic Acid Peroxisomal Oxidation,1,0.00706,1,0.00706,0.173,-141.64305949008497
ELICIT,1 mo.,Nico+Az.,down,metabolite,Cysteine Metabolism,1,0.00706,1,0.00706,0.0407,-141.64305949008497
ELICIT,1 mo.,Nico+Az.,down,metabolite,Porphyrin Metabolism,1,0.00706,1,0.00706,0.0407,-141.64305949008497
ELICIT,1 mo.,Nico+Az.,down,metabolite,Phospholipid Biosynthesis,1,0.00706,1,0.00706,0.0407,-141.64305949008497
ELICIT,1 mo.,Nico+Az.,down,metabolite,Pantothenate and CoA Biosynthesis,1,0.00706,1,0.00706,0.0407,-141.64305949008497
ELICIT,1 mo.,Nico+Az.,down,metabolite,Ketone Body Metabolism,1,0.00706,1,0.00706,0.0407,-141.64305949008497
ELICIT,1 mo.,Nico+Az.,down,metabolite,Butyrate Metabolism,1,0.00706,1,0.00706,0.0407,-141.64305949008497
ELICIT,1 mo.,Nico+Az.,down,metabolite,Mitochondrial Electron Transport Chain,1,0.00706,1,0.00706,0.0407,-141.64305949008497
ELICIT,1 mo.,Nico+Az.,down,metabolite,Phytanic Acid Peroxisomal Oxidation,1,0.00706,1,0.00706,0.0407,-141.64305949008497
ELICIT,1 mo.,Nico+Az.,down,metabolite,Homocysteine Degradation,1,0.00706,1,0.00706,0.0407,-141.64305949008497
ELICIT,1 mo.,Nico+Az.,down,metabolite,Phosphatidylcholine Biosynthesis,1,0.00706,1,0.00706,0.0407,-141.64305949008497
ELICIT,1 mo.,Nico+Az.,down,metabolite,Phosphatidylethanolamine Biosynthesis,1,0.00706,1,0.00706,0.0407,-141.64305949008497
MISAME-III,1-2 mo.,BEP,up,metabolite,Propanoate Metabolism,2,0.00807,1,0.00806,0.197,123.91573729863693
MISAME-III,1-2 mo.,BEP,up,metabolite,Taurine and Hypotaurine Metabolism,2,0.00807,1,0.00806,0.197,123.91573729863693
MISAME-III,14-21 days,BEP/IFA,up,metabolite,Propanoate Metabolism,2,0.00807,1,0.00806,0.113,123.91573729863693
MISAME-III,14-21 days,BEP/IFA,up,metabolite,Beta Oxidation of Very Long Chain Fatty Acids,2,0.00807,1,0.00806,0.113,123.91573729863693
MISAME-III,14-21 days,BEP/IFA,up,metabolite,Steroidogenesis,2,0.00807,1,0.00806,0.113,123.91573729863693
MISAME-III,14-21 days,BEP/IFA,up,metabolite,Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids,2,0.00807,1,0.00806,0.113,123.91573729863693
MISAME-III,1-2 mo.,BEP/IFA,up,metabolite,Propanoate Metabolism,2,0.00807,1,0.00806,0.263,123.91573729863693
MISAME-III,1-2 mo.,BEP/IFA,up,metabolite,Taurine and Hypotaurine Metabolism,2,0.00807,1,0.00806,0.263,123.91573729863693
MISAME-III,3-4 mo.,BEP/IFA,up,metabolite,Tryptophan Metabolism,4,0.00807,1,0.00806,0.079,123.91573729863693
MISAME-III,3-4 mo.,BEP/IFA,up,metabolite,Carnitine Synthesis,4,0.00807,1,0.00806,0.079,123.91573729863693
Mumta-LW,2 mo.,BEP+ExBf,up,metabolite,Alanine Metabolism,2,0.00807,1,0.00806,0.158,123.91573729863693
Mumta-LW,2 mo.,BEP+ExBf,up,metabolite,Glucose-Alanine Cycle,2,0.00807,1,0.00806,0.158,123.91573729863693
ELICIT,5 mo.,Az.,up,metabolite,Alpha Linolenic Acid and Linoleic Acid Metabolism,4,0.00807,1,0.00806,0.197,123.91573729863693
ELICIT,5 mo.,Az.,down,metabolite,Porphyrin Metabolism,1,0.00807,1,0.00807,0.0989,-123.91573729863693
ELICIT,5 mo.,Az.,down,metabolite,Pyrimidine Metabolism,1,0.00807,1,0.00807,0.0989,-123.91573729863693
Mumta-LW,1.5 mo.,BEP,up,metabolite,Tyrosine Metabolism,3,0.00908,1,0.00906,0.111,110.13215859030838
Mumta-LW,1.5 mo.,BEP,up,metabolite,Glutathione Metabolism,3,0.00908,1,0.00906,0.111,110.13215859030838
Mumta-LW,2 mo.,BEP,up,metabolite,Glutathione Metabolism,3,0.00908,1,0.00906,0.185,110.13215859030838
MISAME-III,14-21 days,BEP/IFA,down,metabolite,Oxidation of Branched Chain Fatty Acids,3,0.00908,1,0.00906,0.111,-110.13215859030838
MISAME-III,3-4 mo.,BEP/IFA,down,metabolite,Fatty Acid Biosynthesis,3,0.00908,1,0.00906,0.296,-110.13215859030838
ELICIT,5 mo.,Nico+Az.,down,metabolite,Ammonia Recycling,3,0.00908,1,0.00906,0.148,-110.13215859030838
ELICIT,5 mo.,Nico+Az.,down,metabolite,Fatty acid Metabolism,3,0.00908,1,0.00906,0.148,-110.13215859030838
ELICIT,5 mo.,Nico+Az.,down,metabolite,Fatty Acid Biosynthesis,3,0.00908,1,0.00906,0.148,-110.13215859030838
MISAME-III,14-21 days,BEP,down,metabolite,Cysteine Metabolism,1,0.00908,1,0.00908,0.0989,-110.13215859030838
MISAME-III,14-21 days,BEP,down,metabolite,Pantothenate and CoA Biosynthesis,1,0.00908,1,0.00908,0.0989,-110.13215859030838
MISAME-III,14-21 days,BEP,down,metabolite,Arachidonic Acid Metabolism,1,0.00908,1,0.00908,0.0989,-110.13215859030838
MISAME-III,14-21 days,BEP,down,metabolite,Threonine and 2-Oxobutanoate Degradation,1,0.00908,1,0.00908,0.0989,-110.13215859030838
MISAME-III,14-21 days,BEP,down,metabolite,Homocysteine Degradation,1,0.00908,1,0.00908,0.0989,-110.13215859030838
MISAME-III,14-21 days,BEP,down,metabolite,Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,1,0.00908,1,0.00908,0.0989,-110.13215859030838
MISAME-III,1-2 mo.,BEP,down,metabolite,Ketone Body Metabolism,1,0.00908,1,0.00908,0.089,-110.13215859030838
MISAME-III,1-2 mo.,BEP,down,metabolite,Butyrate Metabolism,1,0.00908,1,0.00908,0.089,-110.13215859030838
MISAME-III,1-2 mo.,BEP,down,metabolite,Arachidonic Acid Metabolism,1,0.00908,1,0.00908,0.089,-110.13215859030838
MISAME-III,1-2 mo.,BEP,down,metabolite,Mitochondrial Electron Transport Chain,1,0.00908,1,0.00908,0.089,-110.13215859030838
MISAME-III,1-2 mo.,BEP,down,metabolite,Phytanic Acid Peroxisomal Oxidation,1,0.00908,1,0.00908,0.089,-110.13215859030838
MISAME-III,1-2 mo.,BEP,down,metabolite,Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,1,0.00908,1,0.00908,0.089,-110.13215859030838
MISAME-III,3-4 mo.,BEP,down,metabolite,Cysteine Metabolism,1,0.00908,1,0.00908,0.148,-110.13215859030838
MISAME-III,3-4 mo.,BEP,down,metabolite,Pantothenate and CoA Biosynthesis,1,0.00908,1,0.00908,0.148,-110.13215859030838
MISAME-III,3-4 mo.,BEP,down,metabolite,Arachidonic Acid Metabolism,1,0.00908,1,0.00908,0.148,-110.13215859030838
MISAME-III,3-4 mo.,BEP,down,metabolite,Homocysteine Degradation,1,0.00908,1,0.00908,0.148,-110.13215859030838
ELICIT,1 mo.,Nico,down,metabolite,Ketone Body Metabolism,1,0.00908,1,0.00908,0.127,-110.13215859030838
ELICIT,1 mo.,Nico,down,metabolite,Butyrate Metabolism,1,0.00908,1,0.00908,0.127,-110.13215859030838
ELICIT,1 mo.,Nico,down,metabolite,Mitochondrial Electron Transport Chain,1,0.00908,1,0.00908,0.127,-110.13215859030838
ELICIT,1 mo.,Nico,down,metabolite,Phytanic Acid Peroxisomal Oxidation,1,0.00908,1,0.00908,0.127,-110.13215859030838
ELICIT,1 mo.,Nico,down,metabolite,Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids,1,0.00908,1,0.00908,0.127,-110.13215859030838
MISAME-III,14-21 days,IFA/BEP,down,metabolite,Bile Acid Biosynthesis,14,0.155,2,0.00948,0.0518,-12.903225806451614
MISAME-III,14-21 days,BEP/BEP,down,metabolite,Taurine and Hypotaurine Metabolism,2,0.0101,1,0.0101,0.141,-99.009900990099
MISAME-III,1-2 mo.,BEP/BEP,up,metabolite,Propanoate Metabolism,2,0.0101,1,0.0101,0.247,99.009900990099
MISAME-III,1-2 mo.,BEP/BEP,up,metabolite,Taurine and Hypotaurine Metabolism,2,0.0101,1,0.0101,0.247,99.009900990099
MISAME-III,3-4 mo.,BEP/IFA,up,metabolite,Glutamate Metabolism,5,0.0101,1,0.0101,0.0897,99.009900990099
MISAME-III,3-4 mo.,IFA/BEP,down,metabolite,Cysteine Metabolism,1,0.0101,1,0.0101,0.141,-99.009900990099
MISAME-III,3-4 mo.,IFA/BEP,down,metabolite,Pantothenate and CoA Biosynthesis,1,0.0101,1,0.0101,0.141,-99.009900990099
MISAME-III,3-4 mo.,IFA/BEP,down,metabolite,Arachidonic Acid Metabolism,1,0.0101,1,0.0101,0.141,-99.009900990099
MISAME-III,3-4 mo.,IFA/BEP,down,metabolite,Homocysteine Degradation,1,0.0101,1,0.0101,0.141,-99.009900990099
MISAME-III,3-4 mo.,IFA/BEP,down,metabolite,Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,1,0.0101,1,0.0101,0.141,-99.009900990099
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,metabolite,Steroid Biosynthesis,1,0.0101,1,0.0101,0.165,-99.009900990099
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,metabolite,Glycerolipid Metabolism,1,0.0101,1,0.0101,0.165,-99.009900990099
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,metabolite,Fatty Acid Elongation In Mitochondria,1,0.0101,1,0.0101,0.165,-99.009900990099
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,metabolite,Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,1,0.0101,1,0.0101,0.165,-99.009900990099
Mumta-LW,2 mo.,BEP+ExBf+AZT,up,metabolite,Alanine Metabolism,2,0.0101,1,0.0101,0.245,99.009900990099
Mumta-LW,2 mo.,BEP+ExBf+AZT,up,metabolite,Glucose-Alanine Cycle,2,0.0101,1,0.0101,0.245,99.009900990099
ELICIT,5 mo.,Az.,up,metabolite,Sphingolipid Metabolism,5,0.0101,1,0.0101,0.197,99.009900990099
ELICIT,5 mo.,Az.,up,metabolite,Galactose Metabolism,5,0.0101,1,0.0101,0.197,99.009900990099
MISAME-III,14-21 days,IFA/BEP,down,metabolite,Cysteine Metabolism,1,0.0111,1,0.0111,0.0518,-90.09009009009009
