Pathway,Overlap Size,Pathway Size,Enrichment Ratio,P-value,FDR,Study,Time Point,Contrast,Regulation,Ionization Mode
Arachidonic acid metabolism,13,22,-0.591,8.40265523905554e-05,0.00999915973447609,MISAME,14-21 days,IFA/BEP,Downregulated,Positive
"Glycine, serine, alanine and threonine metabolism",31,111,0.279,8.40265523905554e-05,0.00999915973447609,MISAME,1-2 mo.,BEP/IFA,Upregulated,Negative
De novo fatty acid biosynthesis,31,68,-0.456,8.40265523905554e-05,0.00999915973447609,MISAME,3-4 mo.,BEP/BEP,Downregulated,Negative
De novo fatty acid biosynthesis,28,73,-0.384,8.40265523905554e-05,0.00499957986723805,MISAME,3-4 mo.,IFA/BEP,Downregulated,Negative
Fatty Acid Metabolism,19,41,-0.463,8.40265523905554e-05,0.00499957986723805,MISAME,3-4 mo.,IFA/BEP,Downregulated,Negative
Saturated fatty acids beta-oxidation,8,12,-0.667,8.40265523905554e-05,0.00999915973447609,ELICIT,5 mo.,Az.,Downregulated,Positive
Vitamin A (retinol) metabolism,12,21,-0.571,8.40265523905554e-05,0.00999915973447609,ELICIT,5 mo.,Nico,Downregulated,Negative
Pentose phosphate pathway,19,56,0.339,8.40265523905554e-05,0.00999915973447609,ELICIT,5 mo.,Nico+Az.,Upregulated,Negative
Pyruvate Metabolism,26,62,0.419,8.40265523905554e-05,0.00999915973447609,Mumta-LW,2 mo.,BEP+ExBf+AZT,Upregulated,Negative
De novo fatty acid biosynthesis,30,77,-0.39,0.000168053104781111,0.0199983194689522,MISAME,1-2 mo.,IFA/BEP,Downregulated,Negative
Butanoate metabolism,10,21,-0.476,0.000168053104781111,0.0199983194689522,Mumta-LW,2 mo.,BEP+ExBf+AZT,Downregulated,Positive
Heparan sulfate degradation,5,6,0.833,0.000252079657171666,0.0299974792034283,MISAME,3-4 mo.,BEP/BEP,Upregulated,Positive
Linoleate metabolism,9,12,-0.75,0.000336106209562222,0.036663585693079,MISAME,3-4 mo.,IFA/BEP,Downregulated,Positive
Leukotriene metabolism,15,31,-0.484,0.000336106209562222,0.0133322129793015,MISAME,3-4 mo.,IFA/BEP,Downregulated,Negative
Prostaglandin formation from arachidonate,19,45,0.422,0.000420132761952777,0.0499957986723805,MISAME,1-2 mo.,IFA/BEP,Upregulated,Negative
De novo fatty acid biosynthesis,26,61,-0.426,0.000420132761952777,0.0499957986723805,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Downregulated,Negative
TCA cycle,9,19,-0.474,0.000588185866733888,0.0699941181413327,Mumta-LW,2 mo.,BEP+ExBf,Downregulated,Positive
Ascorbate (Vitamin C) and Aldarate Metabolism,7,9,0.778,0.000672212419124443,0.0799932778758088,Mumta-LW,1.5 mo.,BEP+ExBf,Upregulated,Positive
Starch and Sucrose Metabolism,11,24,-0.458,0.000672212419124443,0.0799932778758088,Mumta-LW,1.5 mo.,BEP,Downregulated,Negative
Fatty acid activation,9,14,-0.643,0.000756238971514999,0.036663585693079,MISAME,3-4 mo.,IFA/BEP,Downregulated,Positive
De novo fatty acid biosynthesis,13,22,-0.591,0.000756238971514999,0.0899924376102849,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Downregulated,Positive
Carnitine shuttle,4,8,-0.5,0.000840265523905554,0.0999915973447609,ELICIT,1 mo.,Az.,Downregulated,Positive
De novo fatty acid biosynthesis,10,17,-0.588,0.000924292076296109,0.0549953785396185,MISAME,14-21 days,IFA/BEP,Downregulated,Positive
De novo fatty acid biosynthesis,10,17,-0.588,0.000924292076296109,0.036663585693079,MISAME,3-4 mo.,IFA/BEP,Downregulated,Positive
Propanoate metabolism,24,65,-0.369,0.00109234518107722,0.129989076548189,ELICIT,1 mo.,Nico+Az.,Downregulated,Negative
"Valine, leucine and isoleucine degradation",8,18,-0.444,0.00109234518107722,0.0433296921827297,Mumta-LW,2 mo.,BEP+ExBf+AZT,Downregulated,Positive
Glutamate metabolism,5,8,-0.625,0.00109234518107722,0.0433296921827297,Mumta-LW,2 mo.,BEP+ExBf+AZT,Downregulated,Positive
Vitamin D3 (cholecalciferol) metabolism,8,11,-0.727,0.00126039828585833,0.149987396017141,MISAME,14-21 days,IFA/BEP,Downregulated,Negative
Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation,4,5,-0.8,0.00126039828585833,0.0749936980085707,ELICIT,5 mo.,Az.,Downregulated,Positive
N-Glycan Degradation,8,16,0.5,0.00134442483824889,0.0533288519172058,MISAME,3-4 mo.,BEP/BEP,Upregulated,Positive
Fatty acid activation,20,47,-0.426,0.00134442483824889,0.0799932778758088,MISAME,3-4 mo.,BEP/BEP,Downregulated,Negative
Pyruvate Metabolism,17,50,-0.34,0.00134442483824889,0.159986555751618,ELICIT,5 mo.,Az.,Downregulated,Negative
Carbon fixation,15,27,0.556,0.00134442483824889,0.159986555751618,Mumta-LW,2 mo.,BEP+ExBf,Upregulated,Negative
Carnitine shuttle,8,19,-0.421,0.00142845139063944,0.169985715486094,MISAME,3-4 mo.,BEP/IFA,Downregulated,Positive
Methionine and cysteine metabolism,17,52,-0.327,0.00142845139063944,0.0949920174775229,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Negative
Ascorbate (Vitamin C) and Aldarate Metabolism,5,9,0.556,0.00159650449542055,0.189984034955046,ELICIT,1 mo.,Nico+Az.,Upregulated,Positive
