"","total","expected","hits","Raw p","Holm p","FDR"
"Citric Acid Cycle",5,0.298,2,0.0298,1,0.71
"Tyrosine Metabolism",6,0.357,2,0.0432,1,0.71
"Oxidation of Branched Chain Fatty Acids",6,0.357,2,0.0432,1,0.71
"Carnitine Synthesis",6,0.357,2,0.0432,1,0.71
"Pyruvaldehyde Degradation",1,0.0596,1,0.0596,1,0.71
"Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids",1,0.0596,1,0.0596,1,0.71
"Alpha Linolenic Acid and Linoleic Acid Metabolism",9,0.536,2,0.0934,1,0.71
"Warburg Effect",9,0.536,2,0.0934,1,0.71
"Urea Cycle",10,0.596,2,0.113,1,0.71
"Catecholamine Biosynthesis",2,0.119,1,0.116,1,0.71
"Taurine and Hypotaurine Metabolism",2,0.119,1,0.116,1,0.71
"Pantothenate and CoA Biosynthesis",2,0.119,1,0.116,1,0.71
"Glycolysis",2,0.119,1,0.116,1,0.71
"Fatty acid Metabolism",2,0.119,1,0.116,1,0.71
"Mitochondrial Electron Transport Chain",2,0.119,1,0.116,1,0.71
"Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids",2,0.119,1,0.116,1,0.71
"Pyruvate Metabolism",3,0.179,1,0.169,1,0.872
"Phytanic Acid Peroxisomal Oxidation",3,0.179,1,0.169,1,0.872
"Transfer of Acetyl Groups into Mitochondria",3,0.179,1,0.169,1,0.872
"Cysteine Metabolism",4,0.238,1,0.219,1,0.967
"Alanine Metabolism",4,0.238,1,0.219,1,0.967
"Tryptophan Metabolism",4,0.238,1,0.219,1,0.967
"Bile Acid Biosynthesis",5,0.298,1,0.266,1,0.967
"Amino Sugar Metabolism",5,0.298,1,0.266,1,0.967
"Beta Oxidation of Very Long Chain Fatty Acids",5,0.298,1,0.266,1,0.967
"Glucose-Alanine Cycle",5,0.298,1,0.266,1,0.967
"Gluconeogenesis",5,0.298,1,0.266,1,0.967
"Beta-Alanine Metabolism",6,0.357,1,0.311,1,1
"Phenylalanine and Tyrosine Metabolism",6,0.357,1,0.311,1,1
"Ammonia Recycling",8,0.477,1,0.393,1,1
"Aspartate Metabolism",8,0.477,1,0.393,1,1
"Glutamate Metabolism",8,0.477,1,0.393,1,1
"Purine Metabolism",9,0.536,1,0.43,1,1
"Arginine and Proline Metabolism",10,0.596,1,0.466,1,1
"Glycine and Serine Metabolism",11,0.655,1,0.499,1,1
